rok,miejscowość,data,pm25_dobowe
2019,Warszawa,2019-08-20,9.895972541666668
2019,Warszawa,2019-08-21,8.258837506944444
2019,Warszawa,2019-08-22,11.23641786111111
2019,Warszawa,2019-08-23,9.261076784722222
2019,Warszawa,2019-08-24,11.191623083333333
2019,Warszawa,2019-08-25,10.0121243125
2019,Warszawa,2019-08-26,10.799512685314685
2019,Warszawa,2019-08-27,13.629423267605633
2019,Warszawa,2019-08-28,15.119491514084507
2019,Warszawa,2019-08-29,20.59900895035461
2019,Warszawa,2019-08-30,18.076826319444443
2019,Warszawa,2019-08-31,10.646836270833333
2019,Warszawa,2019-09-01,12.642792576388889
2019,Warszawa,2019-09-02,13.25007855944056
